"babies_born","number_of_storks","mean_temperature","year"
12,0,12.4610980416279,1960
13,0,12.6511456287468,1961
18,0,12.6312198698286,1962
14,0,12.8121596302965,1963
14,0,12.6373367592213,1964
19,1,12.9194819745689,1965
15,0,12.6614339124681,1966
10,0,12.959155163927,1967
12,0,12.5510402562676,1968
13,0,12.5211073954389,1969
18,0,13.4336092181687,1970
15,0,12.7142925003379,1971
15,0,12.8695723230678,1972
15,2,12.9495035263561,1973
13,0,12.7376962531973,1974
20,1,12.9500875739915,1975
16,1,12.9327708573955,1976
9,1,12.8281646371798,1977
17,0,12.8965621322029,1978
13,2,12.8889528615399,1979
11,1,13.3337194788805,1980
14,2,12.7720246666124,1981
12,1,12.7133554192417,1982
13,5,12.9523751392806,1983
13,5,13.0191763961247,1984
10,3,13.0566477288078,1985
17,1,12.8899327532732,1986
15,1,12.7812033798109,1987
12,3,13.2587684286127,1988
19,2,12.9484641025938,1989
16,4,12.8575543944436,1990
14,5,12.9956638399757,1991
18,2,13.0157473616839,1992
18,4,13.2894293852861,1993
18,5,13.0966555725725,1994
17,8,13.2427816579596,1995
17,10,13.004375284278,1996
15,9,13.1593855364185,1997
15,9,13.0638220789937,1998
14,12,13.1599387537163,1999
14,10,12.9742121632757,2000
15,10,12.9033873149953,2001
12,8,13.5772530854002,2002
22,14,13.3102149599748,2003
19,6,12.9520817097051,2004
12,16,13.0923655854837,2005
15,14,12.98976553869,2006
15,17,13.6788864121759,2007
18,12,13.5138697244755,2008
16,21,13.2106209046393,2009
17,14,13.3845515146147,2010
16,24,13.2053074999742,2011
16,35,13.2051888974245,2012
20,22,13.1549804955673,2013
16,17,13.2060403964351,2014
21,37,13.6674081301841,2015
