,X,Year,Site,Temp,pcnt,Pop,PopWt,PopSE,Species,BMpcnt,pcntSE
1,1,1998,C02,13.58510638,0.5,1.496450021,3.666666667,1.901841628,Species1,-0.935724279,0.133630621
3,3,1998,C24,14.52553191,0.636363636,-1.00414524,3.5,0.997935595,Species1,2.22361097,0.145040734
4,4,1999,C20,12.51702128,1,4.782655506,1,2.735803515,Species1,-2.779966129,0
5,5,1999,C13,13.03617021,0.275862069,-4.636416041,2,0.542865282,Species1,-0.356057759,0.082996092
6,6,1999,C24,13.03617021,0.555555556,-4.450520598,2,0.54155449,Species1,0.971867919,0.117121395
8,8,1999,C02,12.72553191,0.727272727,0.990751404,8,0.560476842,Species1,0.07980886,0.134281627
9,9,1999,C46,12.90212766,1,0,1.00E-04,0,Species1,2.932261547,0
10,10,1999,C47,12.53404255,0.333333333,0.724760502,2.142857143,0.967206994,Species1,3.372852379,0.272165527
11,11,2001,C13,14.18297872,0.433333333,4.857619236,2.5,0.685895346,Species1,1.41929171,0.090472013
12,12,2001,C24,14.18297872,0.875,4.671326923,2.5,0.684418064,Species1,-0.944275203,0.082679728
14,14,2001,C46,14.04893617,0,0,1.00E-04,0,Species1,8.245964176,0.3
15,15,2001,C02,13.69361702,0.444444444,0.454256754,2.333333333,0.706426391,Species1,-1.676115085,0.165634665
17,17,2000,C02,15.07659574,0.857142857,-1.142859755,8.666666667,0.61774757,Species1,-0.645509323,0.132260014
18,18,2004,C24,13.17446809,0.894736842,-0.895545857,1,2.225260299,Species1,0.80351327,0.040648866
19,19,2004,C02,12.74042553,0.717647059,-0.085713881,0.333333333,0.760017504,Species1,-0.866928365,0.048824989
20,20,2004,C61,12.77234043,0.714285714,-0.534126918,0.476190476,2.771260764,Species1,2.816637573,0.170746944
21,21,2004,C13,13.17446809,0.571428571,0,1.00E-04,0,Species1,-0.080257391,0.107989849
22,22,2003,C02,13.05957447,0.638888889,-0.220283121,1,0.684803336,Species1,-1.107083277,0.056606571
23,23,2003,C13,13.61914894,0.78125,-4.636416041,2,0.565607062,Species1,-0.332844772,0.073079246
24,24,2003,C24,13.61914894,0.943396226,-0.17998978,0.333333333,2.426043644,Species1,0.9252906,0.03174182
25,25,2003,C20,12.71914894,0.615384615,3.878847143,0.4,2.391327753,Species1,-0.093814157,0.134932003
26,26,2003,C46,13.84893617,0,0,1.00E-04,0,Species1,-7.8209931,0.3
27,27,2002,C46,14.26595745,0,0,1.00E-04,0,Species1,-2.370611243,0.3
30,30,1995,C08,12.1,1,0.467656403,0.75,3.11587986,Species1,1.975416021,0
31,31,1996,C02,14.09361702,0.5,5.337820845,12,0.312623323,Species1,0.889509124,0.079056942
32,32,1996,C24,14.7212766,0.657894737,0,1.00E-04,0,Species1,-0.208708847,0.076960217
33,33,1996,C08,14.14468085,0.75,-1.243018999,1.428571429,2.973340119,Species1,4.363082892,0.153093109
34,34,1996,C20,14.04255319,1,0,1.00E-04,0,Species1,1.308003914,0
35,35,1997,C02,12.06382979,0.810810811,-2.433387201,11,1.836229463,Species1,-1.506361883,0.064388315
36,36,1997,C24,12.8893617,0.785714286,5.454665838,5.5,0.48796738,Species1,-0.628914081,0.109664211
37,37,1997,C32,11.78297872,0,0.398070116,0.2,4.714975355,Species1,4.4415012,0.3
38,38,2005,C61,13.80851064,0.571428571,0.220809111,0.166666667,4.853283337,Species1,-0.170061004,0.187043906
39,39,2005,C24,13.86170213,0.916666667,0.393993347,0.333333333,3.82316092,Species1,0.307032156,0.079785592
40,40,2005,C02,13.56808511,0.814814815,0.164657392,0.666666667,0.823939996,Species1,-0.623643391,0.052861039
41,41,2005,C20,13.35319149,1,0,1.00E-04,0,Species1,0.011708396,0
42,42,2010,C01,13.16170213,0.8125,5.237686096,2,0.5457707,Species1,0.663081851,0.056336739
44,44,2010,C24,14.15106383,0.818181818,-0.179225754,0.25,2.568907219,Species1,0.571076285,0.067140813
46,46,2010,C02,13.87234043,0.703703704,3.569808825,2,0.530704437,Species1,-1.760138629,0.087877187
48,48,2010,C57,13.23191489,0.9,-0.908666807,4.5,0.702338902,Species1,-1.22708809,0.09486833
49,49,2010,C13,14.15106383,0.625,1.343804645,1,2.31820802,Species1,-1.814994679,0.171163299
50,50,2010,C43,14.65106383,0.5,7.550135342,1,4.121509734,Species1,2.546557987,0.353553391
51,51,2008,C02,13.06382979,0.827586207,-5.204975836,10.5,0.344516555,Species1,2.193981257,0.0701445
52,52,2008,C13,13.54680851,0.545454545,-4.235785414,1.333333333,2.31820802,Species1,-2.110421654,0.086678417
53,53,2008,C74,13.06382979,0.136363636,-1.307693199,8.5,0.693242631,Species1,1.030225201,0.073165005
