group,individual,value
1,1,-0.629946344444264
1,2,-0.25096921728524
1,3,1.4321686789923
1,4,0.287403987958427
1,5,0.250083934991445
1,6,1.60275412856295
1,7,0.420627722459295
1,8,-1.31172676996886
1,9,-0.608856340059894
1,10,-0.453998876747141
1,11,1.24941364883894
1,12,0.356959151522494
1,13,0.396484404864921
1,14,0.247542944346565
1,15,-0.578418233320002
1,16,1.93856019724603
1,17,0.342975197806217
1,18,-1.90815578166603
1,19,0.713741325948147
1,20,-0.451197250853537
2,21,-0.529859757710857
2,22,0.231792740030775
2,23,-0.559325186674182
2,24,-0.330748767601849
2,25,-0.232218390496814
2,26,-1.15634044660199
2,27,1.38260802235747
2,28,0.658673540509566
2,29,-0.545910190223974
2,30,1.95882338963264
2,31,0.87736110487116
2,32,-0.0259883705563524
2,33,1.49569951349125
2,34,1.3072134112748
2,35,1.25278021999075
2,36,1.29119739106976
2,37,1.02544035283249
2,38,0.316016518197825
2,39,0.212167684234998
2,40,0.105639862743713
