ID animal Mother Year Sex Age BMI RJst RJ2st Phi PhiZ RhoZ FitnessZ GGImm BMIst BMI1 BMI2
CN06-001 CN06-001 NA 2006 Female A 305.98596112907 -2.12941307286731 -1.45805756284344 0 0 0 0 0 0.317151433930886 305.98596112907 NA
CN06-002 CN06-002 NA 2006 Male A 330.129285653094 -1.50391016914619 -1.27615459249048 0 0 0 0 0 0.756288006646179 330.129285653094 NA
CN06-003 CN06-003 CN06-013 2006 Female A 281.620482574379 -2.54502962019031 -1.49254137483541 0 0 0 0 0 -0.126025839954025 281.620482574379 NA
CN06-004 CN06-004 NA 2006 Female A 325.055835497092 -0.300700264646103 -0.48699341714949 0 0 0 0 0 0.664008357622212 325.055835497092 NA
CN06-005 CN06-005 NA 2006 Male A 411.331498845141 -0.850447606786981 -0.919277211962496 0 0 0 0 0 2.23325368146742 411.331498845141 NA
CN06-006 CN06-006 NA 2006 Male A 355.499238738186 -2.20214596864883 -1.46907083029838 0 0 0 0 0 1.21773540328163 355.499238738186 NA
CN06-007 CN06-007 NA 2006 Female A 313.245021020462 0.0655618176822918 -0.132013554241968 1 1 6 8 0 0.449184562950415 313.245021020462 NA
CN06-007 CN06-007 NA 2007 Female A 399.807866059006 -1.06662218756992 -1.05620855293454 0 0 0 0 0 2.02365335894774 399.807866059006 NA
CN06-010 CN06-010 NA 2006 Male A 447.492981240625 -1.92160479920581 -1.41495279785347 0 0 0 0 0 2.89098536326861 447.492981240625 NA
CN06-011 CN06-011 CN06-013 2006 Female A 271.166239844706 -0.425385228843003 -0.595617424924204 0 0 0 0 0 -0.316175308312218 271.166239844706 NA
CN06-012 CN06-012 NA 2006 Female A 359.271692240715 -1.92160479920581 -1.41495279785347 0 0 0 0 0 1.28635156673417 359.271692240715 NA
CN06-013 CN06-013 NA 2006 Female A 324.171881564379 -1.92160479920581 -1.41495279785347 0 0 0 0 0 0.647930352289371 324.171881564379 NA
CN06-014 CN06-014 NA 2006 Female A 357.641811535919 -1.57872114766433 -1.30613481863631 0 0 0 0 0 1.25670609574998 357.641811535919 NA
CN06-015 CN06-015 NA 2006 Male A 378.801160287142 -0.685145570919879 -0.801981487313665 0 0 0 0 0 1.64156791882882 378.801160287142 NA
CN06-017 CN06-017 NA 2006 Male A 353.296231625819 -1.08621553908657 -1.06769736271311 0 0 0 0 0 1.17766548697703 353.296231625819 NA
CN06-018 CN06-018 NA 2006 Male A 368.365185340947 -0.651376726449885 -0.776677643240649 0 0 0 0 0 1.45175071837432 368.365185340947 NA
CN06-021 CN06-021 NA 2006 Female A 466.686384120377 -0.555265399881441 -0.702167015883775 0 0 0 0 0 3.24008911453416 466.686384120377 NA
CN06-023 CN06-023 CN06-013 2006 Female A 316.562005403231 0.00321933558384163 -0.196218101694522 0 0 0 0 0 0.509516318510833 316.562005403231 NA
CN06-024 CN06-024 NA 2006 Female A 321.385364681758 -0.908539465105992 -0.957907586569243 0 0 0 0 0 0.59724713041453 321.385364681758 NA
CN06-025 CN06-025 NA 2006 Female A 370.376846120518 0.189133523270291 -0.000164682596490406 1 1 4 6 0 1.48834028661409 370.376846120518 NA
CN06-025 CN06-025 NA 2007 Female A 293.319966491066 -0.947503516417523 -0.983063258012606 0 0 0 0 0 0.0867729924768508 293.319966491066 NA
CN06-027 CN06-027 NA 2006 Male A 368.988626013262 0.22637708400443 0.0407692133049271 1 1 5 7 0 1.46309031660817 368.988626013262 NA
CN06-027 CN06-027 NA 2007 Male A 376.183994971381 -1.15011658323749 -1.10410143810443 0 0 0 0 0 1.59396498801252 376.183994971381 NA
CN06-028 CN06-028 CN06-025 2006 Female J 186.390590655868 -1.26700873717208 -1.16647538006882 0 0 0 0 0 -1.8581372695764 186.390590655868 NA
CN06-033 CN06-033 NA 2006 Female A 340.708217923936 0.123228613623358 -0.0712427862494709 0 0 0 0 0 0.948705420237351 340.708217923936 NA
CN06-034 CN06-034 NA 2006 Female A 299.228682747771 -0.542277382777597 -0.691815137166654 0 0 0 0 0 0.194245076676966 299.228682747771 NA
CN06-035 CN06-035 NA 2006 Female A 416.223314944184 -0.815025741958317 -0.895060839213872 0 0 0 0 0 2.32222963645448 416.223314944184 NA
CN06-036 CN06-036 NA 2006 Female A 277.335569931898 0.0499761971576792 -0.148210169686948 1 1 2 4 0 -0.203962987770228 277.335569931898 NA
CN06-036 CN06-036 NA 2007 Female A 363.224295091678 -0.440970849367616 -0.608758990150519 1 1 0 2 0 1.35824441925122 363.224295091678 NA
CN06-036 CN06-036 NA 2008 Female A 332.842377517914 -1.25142311664747 -1.15847405806755 0 0 0 0 0 0.805635720205403 332.842377517914 NA
CN06-037 CN06-037 NA 2006 Male A 380.224966576057 -0.403565360108545 -0.577056297595699 0 0 0 0 0 1.66746515652294 380.224966576057 NA
CN06-038 CN06-038 NA 2006 Female A 404.949847373964 -0.846196983007542 -0.916397697883906 0 0 0 0 0 2.11717950317736 404.949847373964 NA
CN06-039 CN06-039 NA 2006 Female A 401.735910965864 0.416238279486074 0.258050893319574 1 1 0 2 0 2.05872206009517 401.735910965864 NA
CN06-039 CN06-039 NA 2007 Female A 335.445960110088 -1.87484793763197 -1.40287807556066 0 0 0 0 0 0.852991598438777 335.445960110088 NA
CN06-040 CN06-040 NA 2006 Female A 302.075204498403 -0.170820093607665 -0.367242991911741 0 0 0 0 0 0.246019711296488 302.075204498403 NA
CN06-041 CN06-041 CN06-062 2006 Female J 221.087771412061 -0.830611362482929 -0.905777761409503 0 0 0 0 0 -1.22703938473471 221.087771412061 NA
CN06-042 CN06-042 NA 2006 Male A 317.227856931835 -0.0513303362523023 -0.251124143124397 0 0 0 0 0 0.521627316642739 317.227856931835 NA
CN06-043 CN06-043 CN06-F12 2006 Male J 170.386397056929 -0.830611362482929 -0.905777761409503 0 0 0 0 0 -2.14923333296721 170.386397056929 NA
CN06-044 CN06-044 NA 2006 Female A 325.042645555936 -0.16042967992459 -0.357372000729039 0 0 0 0 0 0.663768449255506 325.042645555936 NA
